entities,lang,author_id,source,public_metrics,in_reply_to_user_id,created_at,id,text
"{'hashtags': [{'start': 99, 'end': 107, 'tag': 'DHd2022'}], 'mentions': [{'start': 3, 'end': 11, 'username': 'dhd2022', 'id': '724702270890323968'}]}",de,533163305,Twitter Web App,"{'retweet_count': 7, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,2022-02-18T06:49:15.000Z,1494564651715244033,"RT @dhd2022: Ach schön! Wir freuen uns auch, dass all die Stipendiengeber mitgezogen haben, um ein #DHd2022-Recap-Event für die Stipendiat*…"
"{'hashtags': [{'start': 244, 'end': 252, 'tag': 'dhd2022'}], 'mentions': [{'start': 220, 'end': 234, 'username': 'fabian_cremer', 'id': '872436119081816065'}, {'start': 235, 'end': 243, 'username': 'nubuker', 'id': '964809955'}]}",de,3063951376,Twitter for Android,"{'retweet_count': 0, 'reply_count': 2, 'like_count': 16, 'quote_count': 0}",,2022-02-17T17:54:09.000Z,1494369591069487105,Morgen geht's an die Gestaltung unseres Posters zu den DHd-Abstracts als Forschungs- und Datenpublikation. Achtung Insider: Ein Vorteil hat ja die virtuelle Ausrichtung der Tagung - das Poster kann nicht geklaut werden. @fabian_cremer @nubuker #dhd2022
"{'hashtags': [{'start': 99, 'end': 107, 'tag': 'DHd2022'}], 'mentions': [{'start': 3, 'end': 11, 'username': 'dhd2022', 'id': '724702270890323968'}]}",de,1110781803575549952,Twitter Web App,"{'retweet_count': 7, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,2022-02-17T16:13:05.000Z,1494344159586619397,"RT @dhd2022: Ach schön! Wir freuen uns auch, dass all die Stipendiengeber mitgezogen haben, um ein #DHd2022-Recap-Event für die Stipendiat*…"
"{'urls': [{'start': 255, 'end': 278, 'url': 'https://t.co/h9dazO0Gtq', 'expanded_url': 'https://twitter.com/thomasS_UniR/status/1494321373635756038', 'display_url': 'twitter.com/thomasS_UniR/s…'}], 'hashtags': [{'start': 86, 'end': 94, 'tag': 'DHd2022'}], 'mentions': [{'start': 172, 'end': 180, 'username': 'DHDInfo', 'id': '533163305'}, {'start': 181, 'end': 194, 'username': 'nfdi4culture', 'id': '1066991160533635072'}, {'start': 195, 'end': 210, 'username': 'HenkelStiftung', 'id': '361110547'}, {'start': 211, 'end': 222, 'username': 'PortalLISA', 'id': '243063184'}, {'start': 223, 'end': 234, 'username': 'unipotsdam', 'id': '237348098'}]}",de,724702270890323968,Twitter Web App,"{'retweet_count': 7, 'reply_count': 0, 'like_count': 17, 'quote_count': 0}",,2022-02-17T15:56:15.000Z,1494339920567013380,"Ach schön! Wir freuen uns auch, dass all die Stipendiengeber mitgezogen haben, um ein #DHd2022-Recap-Event für die Stipendiat*innen im Sommer in Potsdam möglich zu machen: @DHDInfo @nfdi4culture @HenkelStiftung @PortalLISA @unipotsdam 
Das wird ein Fest! https://t.co/h9dazO0Gtq"
"{'mentions': [{'start': 3, 'end': 16, 'username': 'thomasS_UniR', 'id': '720219120067821568'}, {'start': 48, 'end': 56, 'username': 'dhd2022', 'id': '724702270890323968'}, {'start': 57, 'end': 65, 'username': 'DHDInfo', 'id': '533163305'}]}",de,533163305,Twitter Web App,"{'retweet_count': 3, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,2022-02-17T15:48:37.000Z,1494338000108408838,RT @thomasS_UniR: BTW: Kudos und vielen Dank an @dhd2022 @DHDInfo dass trotz Ausfall der Präsenz-Tagung die Stipendien weiter vergeben werd…
"{'urls': [{'start': 106, 'end': 129, 'url': 'https://t.co/mHx8Jp394N', 'expanded_url': 'https://bddy.me/3HXohjT', 'display_url': 'bddy.me/3HXohjT'}, {'start': 130, 'end': 153, 'url': 'https://t.co/eMTY6JafKt', 'expanded_url': 'https://twitter.com/hudsonalpha/status/1494333437049638913/photo/1', 'display_url': 'pic.twitter.com/eMTY6JafKt'}], 'hashtags': [{'start': 97, 'end': 105, 'tag': 'DHD2022'}]}",en,57030951,Salesforce - Social Studio,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,2022-02-17T15:30:29.000Z,1494333437049638913,"Less than 50 days 🏃🏻‍♀️🏃🏻‍♂️🏃🏾‍♂️
Registration is now OPEN - join us on the helix April 5, 2022  #DHD2022
https://t.co/mHx8Jp394N https://t.co/eMTY6JafKt"
"{'mentions': [{'start': 3, 'end': 16, 'username': 'thomasS_UniR', 'id': '720219120067821568'}, {'start': 48, 'end': 56, 'username': 'dhd2022', 'id': '724702270890323968'}, {'start': 57, 'end': 65, 'username': 'DHDInfo', 'id': '533163305'}]}",de,987712090071814144,K. White,"{'retweet_count': 3, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,2022-02-17T14:56:02.000Z,1494324769696583682,RT @thomasS_UniR: BTW: Kudos und vielen Dank an @dhd2022 @DHDInfo dass trotz Ausfall der Präsenz-Tagung die Stipendien weiter vergeben werd…
"{'mentions': [{'start': 3, 'end': 16, 'username': 'thomasS_UniR', 'id': '720219120067821568'}, {'start': 48, 'end': 56, 'username': 'dhd2022', 'id': '724702270890323968'}, {'start': 57, 'end': 65, 'username': 'DHDInfo', 'id': '533163305'}]}",de,1298687874112671751,botlabhd,"{'retweet_count': 3, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,2022-02-17T14:42:39.000Z,1494321399074213889,RT @thomasS_UniR: BTW: Kudos und vielen Dank an @dhd2022 @DHDInfo dass trotz Ausfall der Präsenz-Tagung die Stipendien weiter vergeben werd…
"{'urls': [{'start': 279, 'end': 302, 'url': 'https://t.co/J4D9Uy93X8', 'expanded_url': 'https://twitter.com/thomasS_UniR/status/1494321373635756038/photo/1', 'display_url': 'pic.twitter.com/J4D9Uy93X8'}], 'hashtags': [{'start': 251, 'end': 259, 'tag': 'DHd2022'}, {'start': 260, 'end': 278, 'tag': 'DigitalHumanities'}], 'mentions': [{'start': 30, 'end': 38, 'username': 'dhd2022', 'id': '724702270890323968'}, {'start': 39, 'end': 47, 'username': 'DHDInfo', 'id': '533163305'}]}",de,720219120067821568,Twitter Web App,"{'retweet_count': 3, 'reply_count': 0, 'like_count': 17, 'quote_count': 1}",,2022-02-17T14:42:33.000Z,1494321373635756038,"BTW: Kudos und vielen Dank an @dhd2022 @DHDInfo dass trotz Ausfall der Präsenz-Tagung die Stipendien weiter vergeben werden und eine Alternativveranstaltung (für die Gewinner) für den Sommer geplant ist. Gute Sache, die nicht selbstverständlich ist 👍 #DHd2022 #DigitalHumanities https://t.co/J4D9Uy93X8"
"{'urls': [{'start': 143, 'end': 166, 'url': 'https://t.co/Gh64CBGsKB', 'expanded_url': 'http://dhd2022.de/programm-events/07-03-montag/', 'display_url': 'dhd2022.de/programm-event…'}], 'hashtags': [{'start': 43, 'end': 48, 'tag': 'CARE'}, {'start': 77, 'end': 82, 'tag': 'FAIR'}, {'start': 132, 'end': 140, 'tag': 'DHd2022'}], 'mentions': [{'start': 0, 'end': 13, 'username': 'cvila_museum', 'id': '1121664816299433986'}, {'start': 14, 'end': 22, 'username': 'm_munke', 'id': '897492667260702721'}, {'start': 23, 'end': 31, 'username': 'jeb_140', 'id': '103798216'}]}",de,1097837820,Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",1.121664816299434e+18,2022-02-17T11:32:05.000Z,1494273444095184904,@cvila_museum @m_munke @jeb_140 Vielleicht #CARE-Principles als Ergänzung zu #FAIR-Data? Hierzu gibt's nen Workshop (Nr 1a) bei der #DHd2022 - https://t.co/Gh64CBGsKB
